"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"45449","435263","Brian McCann",28,"ATL",114,4130,15790,"34.5","31.5",7196,"0.027",".007","27.3","6.9",4592,"-0.003",".002","4.0","0",1921,"-0.001","0.005",63,"-0.002","0.080","0.2","0"
"58548","457763","Buster Posey",25,"SF",114,4070,15510,"28.6","29.1",7025,"0.026",".007","25.9","6.7",4476,"-0.002",".002","2.8","0",1944,"0.001","0.007",90,"-0.036","0.072","0.5","0.4"
"45447","431145","Russell Martin",29,"NYY",128,4418,16767,"25.3","25.9",7710,"0.025",".006","26.7","6.9",4862,"0.001",".002","-1.4","0",1974,"-0.001","0.006",60,"0.003","0.080","0.6","0.1"
"57191","518960","Jonathan Lucroy",26,"MIL",88,3087,12261,"20.0","22.4",5694,"0.023",".007","18.5","5.9",4066,"-0.003",".002","3.8","0",1590,"0.001","0.006",65,"0.024","0.076","0.1","0.3"
"31391","425877","Yadier Molina",29,"STL",136,4882,18055,"24.6","22.3",8024,"0.017",".007","19.2","7.6",5354,"-0.002",".002","2.5","0",2175,"-0.003","0.005",52,"-0.100","0.099","0.6","0"
"36585","452672","Ryan Hanigan",31,"CIN",110,3616,13918,"22.0","22.2",6365,"0.021",".008","18.6","6.9",3813,"-0.003",".002","3.4","0",1601,"-0.002","0.006",43,"-0.069","0.103","0.2","0"
"894","150040","José Molina",37,"TB",102,2910,11365,"19.5","21.4",5182,"0.034",".008","24.7","5.7",3214,"0.003",".002","-2.8","0",1345,"0","0.006",41,"-0.018","0.099","-0.5","0"
"39835","471083","Miguel Montero",28,"ARI",139,4994,18704,"19.7","17.5",8037,"0.013",".007","14.5","7.7",5270,"-0.002",".002","2.4","0",2301,"-0.003","0.005",42,"-0.045","0.101","0.6","0"
"65870","518735","Yasmani Grandal",23,"SD",55,1980,7425,"16.8","16.5",3228,"0.030",".009","13.7","4.1",2200,"-0.004",".003","2.3","0",874,"0.001","0.009",42,"0.027","0.093","0.5","0.3"
"46730","489365","Josh Thole",25,"NYM",100,3360,12844,"15.0","14.3",5820,"0.014",".007","11.5","5.9",3780,"-0.002",".002","2.6","0",1692,"-0.001","0.005",50,"0.020","0.083","0.2","0.1"
"49220","435064","Bobby Wilson",29,"LAA",72,2133,8301,"11.0","11.2",3961,"0.016",".008","8.7","4.5",2433,"-0.003",".002","2.3","0",1073,"0.002","0.007",48,"0.004","0.085","0.3","0.3"
"43102","434567","Geovany Soto",29,"TEX",96,3422,13103,"9.4","10.1",6040,"0.011",".007","9.1","5.7",3875,"-0.001",".002","1.0","0",1631,"0.001","0.006",67,"0.001","0.071","0","0.3"
"43258","455755","Chris Stewart",30,"NYY",54,1649,6347,"9.5","9.9",2985,"0.023",".009","9.7","3.8",1924,"0",".003","0.2","0",743,"0.002","0.009",30,"-0.003","0.107","0","0.2"
"57712","446308","Matt Wieters",26,"BAL",134,5006,19317,"6.0","8.2",8837,"0.005",".006","6.8","7.5",5413,"-0.002",".001","2.6","0",2342,"-0.001","0.005",53,"-0.097","0.097","-1.3","0"
"47634","435520","Jesus Flores",27,"WSH",80,2845,11049,"7.4","8.1",4859,"0.011",".008","7.3","5.3",3330,"-0.001",".002","0.7","0",1390,"-0.001","0.007",44,"0.027","0.087","0","0.1"
"58899","488671","Alex Avila",25,"DET",113,3924,15355,"5.3","8.1",6819,"0.009",".008","8.1","7.5",4436,"0",".002","-0.2","0",1903,"0.002","0.006",85,"-0.028","0.075","0.1","0.4"
"379","424325","David Ross",35,"ATL",54,1737,6400,"6.9","6.9",2838,"0.022",".009","8.6","3.7",1860,"0.004",".003","-1.8","0",759,"-0.002","0.008",20,"-0.006","0.137","0.2","0"
"47301","449786","Carlos Corporán",28,"HOU",24,821,3164,"7.2","6.7",1390,"0.035",".012","6.8","2.4",1057,"0.001",".003","-0.3","0",458,"-0.001","0.011",14,"-0.031","0.164","0.2","0"
"56104","519023","Devin Mesoraco",24,"CIN",53,1812,6866,"7.5","6.6",3139,"0.013",".009","5.8","4.0",2056,"-0.001",".002","0.6","0",872,"0.001","0.009",34,"0","0.108","0.2","0.3"
"38161","456124","Erik Kratz",32,"PHI",41,1417,5333,"7.4","6.6",2339,"0.016",".010","5.2","3.3",1569,"-0.003",".002","1.2","0",678,"0.001","0.009",20,"-0.034","0.128","0.2","0.2"
"48082","455117","Martín Maldonado",25,"MIL",69,2279,9071,"7.0","6.1",4108,"0.006",".008","3.3","4.7",2730,"-0.003",".002","2.2","0",978,"-0.002","0.008",29,"0.021","0.104","0.6","0.1"
"52532","452095","Tyler Flowers",26,"CWS",49,1524,6005,"4.0","4.8",2744,"0.008",".009","3.0","3.4",1745,"-0.004",".002","1.9","0",744,"-0.001","0.009",28,"-0.009","0.110","0","0"
"50170","502182","Steve Clevenger",26,"CHC",51,1786,6879,"4.5","4.5",3126,"0.009",".008","4.0","3.5",2065,"-0.001",".002","0.4","0",884,"0.005","0.009",46,"0.017","0.086","0.2","0.3"
"47910","446653","Jose Lobaton",27,"TB",66,1926,7688,"4.8","4.3",3516,"0.010",".008","4.7","4.0",2273,"0",".002","0","0",930,"0.001","0.008",35,"0.028","0.096","-0.4","0.2"
"46714","457454","Jarrod Saltalamacchia",27,"BOS",104,3704,14239,"4.2","3.7",6643,"0.002",".007","2.2","6.6",4272,"-0.001",".002","1.2","0",1846,"0.004","0.006",69,"0.008","0.070","0.2","0.4"
"49829","467092","Wilson Ramos",24,"WSH",24,900,3378,"3.4","3.1",1438,"0.014",".013","2.8","2.6",996,"-0.001",".003","0.2","0",406,"0.002","0.012",18,"0.019","0.135","0","0.2"
"42127","434563","Carlos Ruiz",33,"PHI",106,3616,13883,"4.7","2.0",6318,"0",".008","-0.2","6.8",4146,"-0.002",".002","2.0","0",1748,"0.001","0.006",70,"-0.046","0.082","0.2","0.3"
"40947","430910","Brayan Peña",30,"KC",52,1792,6897,"1.2","1.9",3142,"0.003",".009","1.3","3.9",1927,"-0.001",".002","0.5","0",869,"0.004","0.008",54,"-0.004","0.089","0.1","0.2"
"40216","425900","Dioner Navarro",28,"CIN",21,628,2352,"1.7","1.9",1014,"0.011",".015","1.5","2.2",612,"-0.002",".004","0.4","0",242,"-0.001","0.015",5,"0.013","0.247","0","0"
"47575","460269","Chris Gimenez",29,"TB",39,1098,4408,"2.0","1.8",1996,"0.004",".011","1.2","3.2",1328,"-0.002",".003","0.6","0",544,"0","0.010",18,"0.001","0.143","0","0.2"
"11429","408242","Wil Nieves",34,"ARI",24,765,2887,"1.9","1.8",1253,"0.010",".014","1.7","2.5",887,"0",".003","-0.1","0",368,"0.001","0.011",14,"0.017","0.147","0.2","0.1"
"31602","425772","Jeff Mathis",29,"TOR",66,2250,8500,"0.4","1.6",3995,"0.001",".008","0.6","4.4",2497,"0",".002","0.2","0",1060,"-0.002","0.006",33,"-0.065","0.111","0.8","0"
"58373","543432","Ryan Lavarnway",24,"BOS",28,966,3661,"1.2","1.4",1546,"0.008",".012","1.7","2.5",1063,"0.001",".003","-0.3","0",453,"0.004","0.011",23,"0.018","0.115","0.1","0.2"
"476","150275","Yorvit Torrealba",33,"MIL",60,1958,7524,"1.7","1.4",3497,"0.003",".009","1.7","4.4",2174,"0.001",".002","-0.5","0",904,"0","0.008",30,"-0.013","0.109","0.2","0.2"
"419","150411","Brian Schneider",35,"PHI",29,949,3471,"1.1","1.2",1547,"0.005",".011","1.1","2.5",908,"0",".003","-0.1","0",383,"0.001","0.013",17,"-0.007","0.142","0.2","0.1"
"32953","400268","J.C. Boscan",32,"ATL",6,124,511,"0.7","0.7",222,"0.011",".029","0.4","0.9",153,"-0.008",".008","0.4","0",73,"0.001","0.028",3,"-0.006","0.304","0","0.1"
"51556","500207","Jhonatan Solano",26,"WSH",11,384,1475,"0.5","0.7",673,"0.012",".017","1.1","1.6",478,"0.003",".005","-0.4","0",205,"0","0.014",7,"-0.033","0.237","0","0.1"
"49755","474233","Hank Conger",24,"LAA",7,240,879,"0.7","0.6",388,"0.009",".022","0.5","1.2",252,"-0.001",".007","0.1","0",118,"0","0.023",6,"0.005","0.230","0","0.1"
"67016","592407","Bryan Holaday",24,"DET",6,162,652,"0.4","0.5",276,"0.004",".026","0.2","1.0",177,"-0.006",".008","0.3","0",67,"0.001","0.029",4,"-0.015","0.273","0","0.1"
"46457","435081","Mike Nickeas",29,"NYM",45,1293,4873,"1.0","0.4",2050,"0.001",".011","0.3","3.2",1448,"0",".003","0.1","0",649,"-0.001","0.009",18,"0.011","0.135","0","0.1"
"60834","543228","Yan Gomes",24,"TOR",9,221,840,"0.3","0.4",392,"0.013",".023","0.7","1.3",244,"0.005",".006","-0.3","0",121,"0","0.011",,,,"0","0"
"55951","506702","Sandy León",23,"WSH",12,339,1246,"0.1","0.3",430,"0.020",".021","1.2","1.3",332,"0.010",".007","-0.9","0",129,"0","0.015",4,"0.012","0.242","0","0.1"
"36019","430591","Hector Gimenez",29,"CWS",3,51,204,"0.2","0.2",95,"0.006",".043","0.1","0.6",44,"-0.008",".016","0.1","0",18,"0.002","0.045",,,,"0","0"
"51953","453256","Eddy Rodriguez",26,"SD",2,76,291,"0.2","0.2",120,"0.007",".033","0.1","0.5",98,"-0.002",".011","0.1","0",31,"0.001","0.033",1,"-0.004","0.548","0","0"
"52029","458701","Luis Exposito",25,"BAL",9,259,978,"0.1","0.1",408,"-0.001",".021","-0.1","1.2",318,"-0.002",".005","0.2","0",144,"-0.001","0.015",1,"-0.003","0.591","0","0"
"56185","518626","Josh Donaldson",26,"OAK",3,104,399,"0.1","0.1",174,"0.003",".028","0.1","0.7",108,"-0.001",".015","0","0",43,"-0.001","0.031",4,"-0.013","0.293","0","0"
"46972","457762","Bryan Anderson",25,"STL",2,39,144,"0.1","0.1",67,"0.001",".038","0","0.4",46,"-0.005",".013","0.1","0",21,"-0.001","0.030",,,,"0","0"
"33538","450192","Luke Carlin",31,"CLE",4,139,532,"0.1","0.1",222,"0.009",".028","0.3","0.9",153,"0.005",".009","-0.2","0",61,"-0.001","0.027",3,"0.022","0.302","0","0"
"46272","452722","Steven Lerud",27,"PHI",3,90,341,"0","0.1",148,"-0.004",".032","-0.1","0.7",76,"-0.007",".011","0.1","0",36,"-0.003","0.028",,,,"0","0"
"52362","455378","Ali Solis",24,"SD",2,15,72,"0","0",22,"0.007",".075","0","0.2",20,"-0.003",".017","0","0",9,"0.005","0.105",2,"0.018","0.371","0","0"
"48685","444489","Manny Piña",25,"KC",1,18,65,"0","0",32,"-0.002",".061","0","0.3",33,"-0.003",".013","0","0",10,"0","0.026",,,,"0","0"
"46660","457130","Vinny Rottino",32,"CLE",2,13,52,"0","0",15,"0",".122","0","0.3",6,"-0.002",".031","0","0",1,"0",,,,,"0","0"
"48762","474319","Brandon Snyder",25,"TEX",1,3,11,"0","0",2,"0.003",".094","0","0",1,"-0.002",".084","0","0",,,,,,,"0","0"
"55765","488810","Tony Cruz",25,"STL",47,1237,4677,"0.4","0",2069,"0",".010","0.1","3.0",1408,"0",".003","-0.1","0",604,"0","0.009",21,"-0.021","0.141","0","0"
"56945","519390","Stephen Vogt",27,"TB",7,66,263,"0","0",99,"-0.005",".042","-0.1","0.6",76,"-0.002",".015","0.1","0",24,"0","0.032",1,"-0.008",,"0","0"
"58217","543148","Tim Federowicz",24,"LAD",2,37,148,"0","0",70,"-0.007",".039","-0.1","0.4",37,"-0.005",".018","0.1","0",14,"0.001","0.039",1,"-0.011","0.664","0","0"
"38871","430961","Carlos Maldonado",33,"WSH",4,118,421,"-0.1","-0.1",198,"0.001",".027","0","0.8",119,"0.002",".009","-0.1","0",54,"0","0.027",2,"0.004","0.398","0","0"
"52441","446192","Adam Moore",28,"KC",3,104,392,"-0.2","-0.1",182,"-0.010",".035","-0.3","0.9",135,"-0.004",".010","0.1","0",35,"0.001","0.039",3,"0.009","0.326","0","0.1"
"45844","465041","Francisco Cervelli",26,"NYY",3,18,67,"-0.2","-0.2",30,"0",".071","0","0.3",23,"0.031",".023","-0.2","0",8,"0","0.043",,,,"0","0"
"31637","425565","Guillermo Quiroz",30,"BOS",1,10,35,"-0.2","-0.2",12,"-0.008",".111","0","0.2",17,"0.047",".038","-0.2","0",10,"0.001","0.030",,,,"0","0"
"42393","435408","Omir Santos",31,"DET",3,122,498,"-0.3","-0.3",233,"-0.001",".029","0","1.0",179,"0.005",".006","-0.3","0",76,"0.002","0.021",6,"0.005","0.223","0","0.1"
"44700","434630","Eli Whiteside",32,"SF",11,164,620,"-0.3","-0.3",253,"0.008",".026","0.3","0.9",189,"0.012",".007","-0.6","0",82,"0","0.030",4,"-0.026","0.281","0","0.1"
"32395","434633","John Baker",31,"SD",56,1966,7584,"0.1","-0.4",3531,"0.002",".008","1.2","3.9",2163,"0.003",".003","-1.6","0",891,"0","0.009",51,"0.005","0.082","0","0.3"
"57053","457574","Jordan Pacheco",26,"COL",5,184,697,"-0.4","-0.4",313,"-0.010",".024","-0.4","1.0",192,"0",".009","0","0",85,"0.001","0.030",5,"0.013","0.219","0","0.1"
"60002","543302","Chris Herrmann",24,"MIN",3,76,278,"-0.5","-0.5",136,"-0.006",".031","-0.1","0.6",80,"0.015",".015","-0.3","0",45,"-0.001","0.034",1,"-0.016","0.548","0","0"
"1501","150229","A.J. Pierzynski",35,"CWS",126,4523,17562,"-2.9","-0.7",8158,"0.003",".007","3.4","7.7",4933,"0.003",".002","-4.3","0",2096,"0","0.006",66,"0.017","0.075","0.2","0.4"
"56756","520209","Konrad Schmidt",27,"ARI",2,61,228,"-0.7","-0.9",63,"0.013",".056","0.1","0.5",80,"0.044",".021","-1.0","0",36,"-0.001","0.034",,,,"0","0"
"43032","430965","Chris Snyder",31,"HOU",72,2576,9853,"-2.0","-0.9",4535,"0.003",".009","1.7","5.4",2878,"0.003",".002","-2.7","0",1223,"0.003","0.008",54,"-0.009","0.082","0.1","0.3"
"31446","425542","Koyie Hill",33,"CHC",11,373,1398,"-0.5","-1.1",639,"-0.019",".017","-1.7","1.5",406,"-0.005",".005","0.6","0",183,"-0.001","0.018",6,"0.008","0.227","0","0"
"40851","425661","Ronny Paulino",31,"BAL",11,362,1421,"-0.8","-1.2",673,"-0.008",".016","-0.7","1.5",442,"0.004",".004","-0.4","0",185,"0","0.015",3,"-0.003","0.306","0","0.1"
"31759","408045","Joe Mauer",29,"MIN",74,2712,10080,"-2.9","-1.2",4626,"-0.001",".007","-0.8","4.6",2894,"0.001",".002","-0.8","0",1282,"0.002","0.006",49,"0.043","0.081","0.3","0.3"
"50568","503351","Blake Lalli",29,"CHC",4,121,457,"-1.4","-1.3",227,"-0.033",".025","-1.0","0.8",152,"0.006",".008","-0.3","0",77,"0","0.031",4,"-0.006","0.284","0","0.1"
"52678","450317","J.P. Arencibia",26,"TOR",94,3482,13313,"-0.4","-1.4",6188,"-0.003",".006","-2.9","5.5",4149,"-0.002",".002","2.0","0",1697,"-0.001","0.005",52,"-0.027","0.089","-0.5","0"
"57291","446208","Luis Martinez",27,"TEX",10,235,925,"-1.7","-1.6",456,"-0.020",".022","-1.3","1.4",272,"0.004",".006","-0.3","0",117,"0","0.018",5,"0.015","0.248","0","0.1"
"52461","456078","Welington Castillo",25,"CHC",49,1828,7155,"-3.1","-1.7",3137,"-0.006",".008","-2.5","3.7",2221,"-0.001",".002","0.9","0",941,"-0.002","0.008",31,"0.001","0.100","-0.1","0.1"
"57","111072","Henry Blanco",40,"ARI",21,715,2752,"-1.2","-1.8",1315,"-0.010",".013","-1.8","2.4",916,"0",".003","0","0",431,"-0.002","0.009",2,"-0.005","0.414","0","0"
"46384","453974","Lou Marson",26,"CLE",69,2412,9360,"-2.9","-1.8",4332,"-0.006",".008","-3.9","4.6",2769,"-0.003",".002","2.0","0",1303,"0.003","0.007",60,"0.030","0.079","0.2","0.3"
"45441","435459","George Kottaras",29,"OAK",54,1802,7160,"-1.9","-1.9",3311,"-0.007",".007","-3.5","3.4",2254,"-0.003",".002","1.6","0",978,"-0.001","0.007",34,"0.009","0.099","0","0.1"
"47903","453531","Rob Johnson",29,"NYM",17,605,2399,"-2.0","-2.0",1096,"-0.014",".014","-2.2","2.1",765,"-0.001",".003","0.2","0",382,"-0.001","0.010",8,"0","0.195","0","0"
"46822","460003","Taylor Teagarden",28,"BAL",21,651,2518,"-2.5","-2.0",1094,"-0.013",".014","-2.1","2.1",746,"0",".004","0.1","0",343,"-0.001","0.009",5,"0.001","0.243","0","0"
"31321","407833","John Buck",31,"MIA",105,3888,14719,"1.3","-2.1",6677,"-0.004",".007","-3.4","6.7",4284,"-0.001",".002","1.7","0",1893,"-0.003","0.005",42,"-0.011","0.096","-0.5","0"
"46537","489232","Anthony Recker",28,"CHC",17,460,1759,"-2.3","-2.2",868,"-0.018",".015","-2.2","1.8",530,"0",".004","0.1","0",246,"0","0.013",5,"-0.007","0.262","0","0.1"
"936","150421","Ramon Hernandez",36,"COL",46,1816,7038,"-3.5","-2.9",3261,"-0.007",".008","-3.4","3.7",2329,"-0.001",".002","0.3","0",1041,"0.001","0.008",33,"0.007","0.105","0.2","0.3"
"47155","460077","Drew Butera",28,"MIN",41,1253,4738,"-2.7","-3.0",2046,"-0.006",".010","-1.6","2.8",1346,"0.004",".003","-1.4","0",579,"0.001","0.010",21,"0.009","0.124","0","0.2"
"47723","451109","Brett Hayes",28,"MIA",33,1246,4815,"-1.8","-3.3",2200,"-0.014",".012","-4.3","3.6",1469,"-0.002",".002","1.0","0",639,"0","0.009",22,"-0.020","0.124","0","0"
"43901","276354","Matt Treanor",36,"LAD",35,1234,4612,"-3.2","-3.4",2026,"-0.016",".011","-4.5","3.2",1382,"-0.003",".003","1.0","0",563,"-0.001","0.009",18,"-0.027","0.150","0","0"
"57013","519083","Derek Norris",23,"OAK",58,2020,7751,"-3.4","-3.5",3348,"-0.004",".009","-2.1","4.0",2079,"0.002",".002","-1.4","0",876,"0.001","0.008",33,"0","0.104","0","0.2"
"31726","431159","Kelly Shoppach",32,"NYM",73,2357,9011,"-4.9","-4.1",4053,"-0.005",".008","-3.0","4.7",2520,"0.001",".002","-0.9","0",1085,"-0.001","0.007",37,"-0.031","0.095","-0.3","0"
"41401","279827","Humberto Quintero",32,"KC",43,1529,5976,"-5.0","-5.4",2862,"-0.015",".010","-6.0","4.0",1863,"-0.003",".002","1.4","0",782,"0.001","0.008",30,"-0.007","0.107","-0.8","0.2"
"46195","444379","John Jaso",28,"SEA",43,1386,5249,"-6.2","-5.8",2367,"-0.010",".010","-3.2","3.4",1381,"0.008",".003","-3.1","0",601,"-0.001","0.009",24,"0.035","0.111","0.4","0.1"
"16616","408042","Gerald Laird",32,"DET",56,1837,7122,"-6.1","-6.2",3208,"-0.016",".009","-7.1","4.3",2128,"-0.001",".002","0.8","0",880,"0.001","0.009",40,"0.017","0.086","0.1","0.3"
"57472","524968","Jesus Montero",22,"SEA",56,2071,7826,"-7.5","-7.0",3498,"-0.011",".009","-5.1","4.2",2361,"0.003",".002","-2.0","0",1044,"0.003","0.008",53,"0.032","0.085","0.1","0.3"
"56734","516949","Héctor Sánchez",22,"SF",56,1904,7340,"-8.8","-7.7",3340,"-0.013",".010","-6.3","4.5",2287,"0.002",".003","-1.5","0",985,"0.002","0.007",44,"0.010","0.083","0.1","0.2"
"58831","488771","Jason Castro",25,"HOU",79,2841,10846,"-9.7","-8.0",5015,"-0.003",".008","-2.2","5.5",3340,"0.006",".002","-5.2","0",1425,"0.001","0.006",51,"0.042","0.079","-0.5","0.3"
"50255","502374","Michael McKenry",27,"PIT",81,2616,9853,"-6.7","-8.1",4290,"-0.016",".007","-9.5","4.5",2882,"-0.002",".002","1.4","0",1263,"-0.001","0.007",51,"-0.023","0.088","0","0"
"65953","542963","Rob Brantly",22,"MIA",28,1052,4139,"-9.0","-9.0",1906,"-0.024",".011","-6.4","3.0",1232,"0.006",".003","-2.2","0",555,"-0.002","0.008",14,"0.013","0.158","-0.5","0.1"
"47690","460026","Nick Hundley",28,"SD",56,2114,8169,"-8.0","-9.8",3841,"-0.023",".009","-12.3","4.6",2425,"-0.003",".002","2.2","0",1019,"0.002","0.009",56,"-0.028","0.088","0.3","0.3"
"47564","454560","A.J. Ellis",31,"LAD",131,4797,18456,"-10.3","-10.3",8335,"-0.009",".007","-10.5","8.1",5278,"0",".002","0.3","0",2236,"0","0.005",79,"-0.035","0.076","-0.1","0.4"
"52534","452105","John Hester",28,"LAA",38,1088,4261,"-10.9","-10.7",1968,"-0.040",".010","-11.0","2.7",1282,"-0.001",".003","0.3","0",585,"0.001","0.010",28,"0.044","0.102","0.1","0.2"
"31606","435063","Mike Napoli",30,"TEX",72,2648,10211,"-9.8","-11.0",4636,"-0.018",".009","-11.4","5.6",2940,"-0.001",".002","0.4","0",1348,"0","0.006",39,"0.009","0.093","0","0.3"
