"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"41774","425784","René Rivera",30,"SD",89,3032,11779,"31.2","29.3",5128,"0.038",".007","27.3","5.3",3455,"-0.003",".002","2.6","0",1345,"0.002","0.008",70,"-0.045","0.086","-0.5","0.3"
"58548","457763","Buster Posey",27,"SF",111,3804,14265,"27.6","26.0",6232,"0.028",".007","24.8","6.1",3911,"-0.001",".002","1.1","0",1707,"0","0.006",62,"-0.012","0.082","0.2","0.3"
"49755","474233","Hank Conger",26,"LAA",79,2612,10284,"23.7","23.0",4728,"0.035",".007","23.2","4.6",3017,"0",".002","0","0",1253,"0.002","0.007",58,"-0.006","0.081","-0.2","0.3"
"45447","431145","Russell Martin",31,"PIT",107,3925,14473,"26.4","22.8",6534,"0.025",".007","22.5","6.8",4166,"0",".002","0.3","0",1683,"0","0.006",71,"-0.062","0.086","0","0"
"57191","518960","Jonathan Lucroy",28,"MIL",136,4932,18963,"17.9","19.3",8303,"0.011",".006","13.4","7.1",5235,"-0.004",".002","5.2","0",2095,"0.001","0.005",86,"0.003","0.070","0.7","0.4"
"39835","471083","Miguel Montero",30,"ARI",131,4911,18494,"19.1","18.8",8148,"0.017",".006","18.8","7.2",5157,"0",".001","0.2","0",2206,"-0.001","0.005",60,"0.035","0.079","-0.2","0.1"
"99903","572287","Mike Zunino",23,"SEA",130,4604,17341,"18.0","18.2",7509,"0.020",".007","20.6","7.1",4994,"0.002",".002","-2.0","0",1996,"0.001","0.005",66,"0","0.080","-0.4","0.3"
"58831","488771","Jason Castro",27,"HOU",114,4170,16033,"13.8","15.6",7304,"0.013",".006","13.1","6.1",4747,"-0.002",".002","2.2","0",1848,"0.001","0.005",79,"-0.010","0.074","0.3","0.3"
"894","150040","José Molina",39,"TB",80,2646,10491,"15.3","15.4",4741,"0.027",".008","17.7","5.5",3095,"0.003",".002","-2.3","0",1275,"0.001","0.006",41,"-0.010","0.096","0","0.2"
"58767","543877","Christian Vázquez",23,"BOS",54,1926,7336,"14.3","14.7",3383,"0.033",".008","15.4","3.8",2174,"0.001",".002","-0.8","0",960,"-0.001","0.007",21,"-0.051","0.141","0.1","0"
"45449","435263","Brian McCann",30,"NYY",108,3740,14677,"15.9","12.6",6518,"0.012",".007","10.8","6.3",4292,"-0.001",".002","1.6","0",1809,"0","0.005",59,"-0.028","0.084","0.2","0.3"
"58842","543376","Caleb Joseph",28,"BAL",78,2762,10863,"12.7","11.6",4870,"0.018",".006","12.3","4.4",2989,"0.001",".002","-0.7","0",1300,"0","0.006",38,"-0.051","0.107","0","0.2"
"60834","543228","Yan Gomes",26,"CLE",126,4565,17515,"10.0","10.9",7781,"0.007",".006","7.4","6.5",5265,"-0.003",".001","3.6","0",2121,"-0.001","0.005",61,"-0.027","0.083","-0.1","0"
"65870","518735","Yasmani Grandal",25,"SD",76,2559,9903,"10.4","10.7",4427,"0.018",".007","11.5","4.2",2940,"0.001",".002","-1.1","0",1251,"0.001","0.007",44,"0.035","0.091","0.3","0.3"
"43258","455755","Chris Stewart",32,"PIT",46,1503,5747,"9.3","8.7",2462,"0.023",".009","8.1","3.2",1688,"-0.001",".003","0.3","0",682,"0","0.008",27,"-0.004","0.117","0.4","0"
"36585","452672","Ryan Hanigan",33,"TB",79,2525,10088,"7.2","7.7",4701,"0.009",".008","6.3","5.2",3052,"-0.002",".002","1.4","0",1239,"-0.001","0.006",26,"-0.004","0.115","0","0"
"45844","465041","Francisco Cervelli",28,"NYY",42,1466,5579,"7.3","7.5",2528,"0.018",".009","6.5","3.3",1656,"-0.002",".003","1.0","0",676,"-0.001","0.008",18,"-0.003","0.145","0","0"
"48082","455117","Martín Maldonado",27,"MIL",42,1168,4529,"8.0","7.4",1978,"0.024",".011","6.7","3.0",1400,"-0.001",".003","0.3","0",559,"-0.001","0.008",12,"-0.004","0.178","0.4","0"
"31391","425877","Yadier Molina",31,"STL",107,3845,14452,"6.1","7.3",6420,"0.006",".007","5.1","6.5",3996,"-0.001",".002","1.4","0",1669,"-0.002","0.005",28,"-0.040","0.128","0.8","0"
"52532","452095","Tyler Flowers",28,"CWS",124,4512,17847,"5.4","7.2",8162,"0.010",".006","11.2","7.2",5263,"0.002",".002","-3.5","0",2237,"-0.001","0.004",55,"-0.016","0.088","-0.5","0"
"47301","449786","Carlos Corporán",30,"HOU",54,1837,7046,"5.9","6.9",3200,"0.014",".009","6.2","3.9",2151,"-0.001",".002","0.7","0",865,"0","0.007",20,"0.011","0.134","0","0.1"
"58899","488671","Alex Avila",27,"DET",122,4306,16930,"5.5","6.8",7749,"0.003",".006","3.0","6.8",5016,"-0.003",".001","3.6","0",2088,"0.003","0.006",79,"-0.030","0.074","0.2","0.4"
"47910","446653","Jose Lobaton",29,"WSH",64,2196,8470,"7.6","6.7",3790,"0.011",".008","5.6","4.5",2362,"-0.002",".002","1.2","0",945,"0.001","0.007",30,"-0.033","0.116","0","0.2"
"59467","547379","Roberto Pérez",25,"CLE",29,958,3670,"5.2","5.5",1408,"0.018",".013","3.5","2.5",1118,"-0.006",".003","1.8","0",477,"0","0.010",15,"-0.041","0.163","0.2","0"
"379","424325","David Ross",37,"BOS",50,1780,6836,"4.4","5.5",3217,"0.013",".009","6.0","4.3",2131,"0.001",".002","-0.6","0",928,"0.001","0.007",29,"0.015","0.109","0","0.2"
"31602","425772","Jeff Mathis",31,"MIA",62,2015,7571,"5.6","4.6",3435,"0.007",".008","3.4","3.7",2326,"-0.001",".002","0.7","0",942,"0","0.007",33,"-0.021","0.107","0.4","0.2"
"38161","456124","Erik Kratz",34,"KC",36,949,3678,"4.2","4.4",1555,"0.017",".010","3.6","2.2",1022,"-0.003",".003","0.8","0",449,"0.001","0.009",21,"-0.015","0.128","0","0.1"
"47155","460077","Drew Butera",30,"LAD",57,1868,7368,"4.5","4.0",3285,"0.009",".008","4.3","3.7",2258,"0.001",".002","-0.7","0",979,"-0.001","0.008",25,"-0.026","0.122","0.4","0"
"47690","460026","Nick Hundley",30,"BAL",63,2117,8068,"4.8","3.9",3573,"0.002",".008","1.2","4.1",2226,"-0.004",".002","2.5","0",906,"0","0.006",24,"0.024","0.118","0.2","0.2"
"67758","594828","Evan Gattis",27,"ATL",93,3335,12796,"3.6","3.9",5527,"0.008",".008","6.5","6.0",3745,"0.003",".002","-2.7","0",1552,"0.001","0.006",51,"0.019","0.089","0.1","0.3"
"40947","430910","Brayan Peña",32,"CIN",46,1531,5858,"3.7","3.7",2699,"0.010",".010","3.8","3.9",1494,"0",".002","0","0",597,"0","0.009",18,"-0.049","0.151","0","0.2"
"50170","502182","Steve Clevenger",28,"BAL",25,754,2965,"3.4","3.5",1332,"0.016",".013","3.0","2.5",802,"-0.003",".003","0.5","0",357,"0","0.011",13,"0.018","0.158","0","0.1"
"46730","489365","Josh Thole",27,"TOR",53,1532,5841,"3.1","2.9",2563,"0.006",".011","2.0","4.0",1720,"-0.002",".003","0.9","0",728,"0","0.007",21,"0.008","0.129","0","0.2"
"56104","519023","Devin Mesoraco",26,"CIN",109,3952,14958,"3.7","2.8",6658,"0.001",".007","1.1","6.5",4192,"-0.001",".002","1.6","0",1824,"-0.001","0.005",48,"0.013","0.091","0","0.1"
"55784","518595","Travis d'Arnaud",25,"NYM",105,3873,14765,"2.4","2.7",6766,"0.008",".007","7.3","6.4",4362,"0.004",".002","-4.8","0",1893,"0","0.005",48,"0.032","0.088","0.2","0.1"
"51184","491696","Jesús Sucre",26,"SEA",21,658,2578,"2.5","2.6",1156,"0.013",".014","2.1","2.2",812,"-0.002",".004","0.3","0",316,"0","0.011",10,"0.010","0.184","0.2","0.1"
"11429","408242","Wil Nieves",36,"PHI",34,1257,4703,"3.5","2.3",2097,"0.007",".011","1.9","3.2",1371,"-0.001",".003","0.2","0",588,"-0.001","0.009",19,"0.010","0.139","0.2","0.1"
"49364","488912","Tuffy Gosewisch",30,"ARI",35,1208,4631,"2.2","1.8",1914,"0.005",".010","1.3","2.7",1426,"-0.003",".003","1.0","0",618,"-0.001","0.009",14,"-0.039","0.168","-0.5","0"
"56945","519390","Stephen Vogt",29,"OAK",15,348,1315,"1.6","1.7",604,"0.019",".018","1.6","1.5",314,"-0.001",".005","0","0",128,"0","0.014",1,"0.007","0.601","0","0"
"49829","467092","Wilson Ramos",26,"WSH",87,3163,11906,"1.3","1.3",5142,"0.002",".008","1.4","5.5",3073,"0",".002","-0.4","0",1311,"-0.001","0.006",33,"-0.025","0.109","0.3","0"
"56734","516949","Héctor Sánchez",24,"SF",45,1304,5056,"1.1","1.1",2204,"0.007",".010","2.2","3.1",1418,"0.003",".003","-1.2","0",625,"0.001","0.011",34,"-0.011","0.108","0","0.2"
"52678","450317","J.P. Arencibia",28,"TEX",22,830,3167,"0.5","0.9",1463,"0.011",".012","2.4","2.5",991,"0.005",".003","-1.4","0",419,"0","0.008",8,"0.003","0.207","0","0"
"55951","506702","Sandy León",25,"WSH",20,661,2453,"0.6","0.7",1028,"0.004",".014","0.5","2.0",703,"-0.001",".003","0.2","0",275,"0","0.012",6,"-0.024","0.242","0","0"
"47575","460269","Chris Gimenez",31,"CLE",28,975,3655,"0.5","0.5",1629,"0.006",".012","1.4","2.8",1032,"0.004",".004","-1.1","0",435,"-0.001","0.009",8,"0.025","0.203","0.2","0"
"49220","435064","Bobby Wilson",31,"ARI",2,43,190,"0.3","0.3",71,"0.014",".047","0.1","0.5",53,"-0.011",".015","0.2","0",15,"-0.002","0.041",,,,"0","0"
"60633","571974","John Ryan Murphy",23,"NYY",30,843,3215,"-0.2","0.2",1468,"0.006",".011","1.3","2.2",916,"0.003",".003","-0.7","0",393,"0.001","0.010",10,"0.023","0.177","-0.5","0.1"
"52362","455378","Ali Solis",26,"TB",8,117,440,"0.2","0.2",194,"0.017",".026","0.5","0.7",141,"0.008",".009","-0.3","0",48,"-0.001","0.029",1,"0.017","0.501","0","0"
"52441","446192","Adam Moore",30,"SD",1,36,144,"0.2","0.2",63,"0.005",".051","0","0.4",43,"-0.010",".014","0.1","0",17,"0.002","0.037",,,,"0","0"
"31637","425565","Guillermo Quiroz",32,"SF",2,41,131,"0","0",53,"-0.009",".054","-0.1","0.4",38,"-0.011",".017","0.1","0",11,"0.001","0.026",,,,"0","0"
"48304","431166","Matt Pagnozzi",31,"MIL",1,6,31,"0","0",10,"-0.009",".123","0","0.2",10,"-0.017",".061","0","0",5,"0.001","0.044",,,,"0","0"
"57520","519222","Austin Romine",25,"NYY",3,65,244,"0","0",110,"-0.004",".034","-0.1","0.5",81,"-0.004",".009","0.1","0",43,"-0.001","0.030",1,"-0.009",,"0","0"
"41401","279827","Humberto Quintero",34,"SEA",3,26,112,"0","0",49,"-0.008",".049","-0.1","0.3",13,"-0.019",".021","0.1","0",8,"0.001","0.038",,,,"0","0"
"69886","607257","Raffy Lopez",26,"CHC",4,91,359,"0.1","0",175,"-0.009",".032","-0.2","0.8",136,"-0.006",".009","0.2","0",63,"0","0.026",2,"-0.026","0.394","0","0"
"60002","543302","Chris Herrmann",26,"MIN",1,4,13,"0","0",3,"-0.015",".126","0","0.1",1,"-0.002",".074","0","0",1,"0",,,,,"0","0"
"57096","506747","Francisco Peña",24,"KC",1,3,12,"0","0",5,"-0.029",".175","0","0.1",3,"-0.002",".047","0","0",3,"0.002","0.124",1,"-0.007","0.563","0","0"
"31547","425491","Ryan Doumit",33,"ATL",2,79,316,"0","0",151,"-0.013",".036","-0.3","0.8",126,"-0.007",".008","0.3","0",54,"-0.001","0.036",5,"0.021","0.250","0","0"
"57712","446308","Matt Wieters",28,"BAL",22,850,3360,"-0.3","0",1485,"-0.004",".013","-0.8","2.7",1024,"-0.003",".003","0.8","0",461,"0","0.009",10,"0.012","0.175","0","0.1"
"60379","576788","Dan Butler",27,"BOS",7,221,811,"0","-0.1",351,"-0.007",".024","-0.3","1.2",222,"-0.004",".007","0.2","0",82,"0","0.025",3,"0.002","0.334","0","0.1"
"56974","519425","Jackson Williams",28,"COL",7,175,634,"-0.4","-0.4",259,"0",".025","0","0.9",191,"0.007",".007","-0.4","0",82,"0.001","0.023",4,"-0.002","0.275","0","0.1"
"70317","543510","James McCann",24,"DET",6,98,356,"-0.4","-0.4",147,"-0.013",".033","-0.3","0.7",94,"0.005",".011","-0.1","0",41,"0.001","0.036",3,"-0.010","0.308","0","0"
"59431","545358","Max Stassi",23,"HOU",6,147,598,"-0.4","-0.4",267,"0.003",".024","0.1","0.9",164,"0.011",".008","-0.5","0",62,"0.002","0.026",3,"-0.010","0.299","0","0"
"67084","592663","J.T. Realmuto",23,"MIA",9,280,997,"-0.6","-0.5",433,"-0.009",".019","-0.6","1.2",301,"-0.001",".006","0.1","0",114,"0.001","0.018",3,"0.010","0.338","0","0.1"
"46822","460003","Taylor Teagarden",30,"NYM",9,295,1156,"-0.3","-0.5",529,"-0.008",".017","-0.6","1.3",324,"-0.001",".005","0.1","0",135,"0","0.016",3,"-0.015","0.316","0","0.1"
