"Season","Name","Team","G","PA","BB%","K%","AVG","OBP","SLG","wOBA","xwOBA","wRC+","WAR","playerid"
"1920","Babe Ruth","NYY","142","615","24.4%","13.0%",".376",".533",".849",".598","","239","13.3","1011327"
"1921","Babe Ruth","NYY","152","693","20.9%","11.7%",".378",".512",".846",".575","","224","13.9","1011327"
"1923","Babe Ruth","NYY","152","699","24.3%","13.3%",".393",".545",".764",".571","","231","15.0","1011327"
"1941","Ted Williams","BOS","143","606","24.3%","4.5%",".406",".553",".735",".568","","221","11.0","1014040"
"1926","Babe Ruth","NYY","152","652","22.1%","11.7%",".372",".516",".737",".551","","216","12.0","1011327"
"1924","Babe Ruth","NYY","153","681","20.9%","11.9%",".378",".513",".739",".549","","210","12.5","1011327"
"1927","Babe Ruth","NYY","151","691","19.8%","12.9%",".356",".486",".772",".545","","212","13.0","1011327"
"2002","Barry Bonds","SFG","143","612","32.4%","7.7%",".370",".582",".799",".544","","244","12.7","1109"
"1925","Rogers Hornsby","STL","138","605","13.7%","6.4%",".403",".489",".756",".540","","208","10.8","1006030"
"1927","Lou Gehrig","NYY","155","717","15.2%","11.7%",".373",".474",".765",".540","","209","12.5","1004598"
"1924","Rogers Hornsby","STL","143","640","13.9%","5.0%",".424",".507",".696",".537","","221","12.5","1006030"
"2004","Barry Bonds","SFG","147","617","37.6%","6.6%",".362",".609",".812",".537","","233","11.9","1109"
"2001","Barry Bonds","SFG","153","664","26.7%","14.0%",".328",".515",".863",".537","","235","12.5","1109"
"1894","Hugh Duffy","BSN","125","606","10.9%","2.5%",".440",".502",".694",".526","","169","7.5","1003533"
"1931","Babe Ruth","NYY","145","663","19.3%","7.7%",".373",".495",".700",".525","","206","10.7","1011327"
"1946","Ted Williams","BOS","150","672","23.2%","6.5%",".342",".497",".667",".525","","215","11.8","1014040"
"1887","Tip O'Neill","STL","124","572","8.7%","",".435",".490",".691",".525","","191","8.2","1009821"
"1957","Ted Williams","BOS","132","546","21.8%","7.9%",".388",".526",".731",".524","","223","9.7","1014040"
"1942","Ted Williams","BOS","150","671","21.6%","7.6%",".356",".499",".648",".524","","209","11.6","1014040"
"1932","Jimmie Foxx","PHA","154","701","16.5%","13.7%",".364",".469",".749",".522","","198","11.3","1004285"
"1922","Rogers Hornsby","STL","154","704","9.2%","7.1%",".401",".459",".722",".520","","198","10.6","1006030"
"1930","Babe Ruth","NYY","145","676","20.1%","9.0%",".359",".493",".732",".517","","205","10.5","1011327"
"1871","Levi Meyerle","PHN","26","132","1.5%","0.8%",".492",".500",".700",".517","","190","1.4","1008830"
"1936","Lou Gehrig","NYY","155","719","18.1%","6.4%",".354",".478",".696",".512","","178","9.7","1004598"
"1948","Stan Musial","STL","155","694","11.4%","4.9%",".376",".450",".702",".512","","201","11.1","1009405"
"1934","Lou Gehrig","NYY","154","690","15.8%","4.5%",".363",".465",".706",".511","","194","10.7","1004598"
"1949","Ted Williams","BOS","155","730","22.2%","6.6%",".343",".490",".650",".511","","186","9.9","1014040"
"1895","Ed Delahanty","PHI","116","578","14.9%","5.4%",".404",".500",".617",".510","","177","7.5","1003155"
"1928","Babe Ruth","NYY","154","684","20.0%","12.7%",".323",".463",".709",".510","","200","10.6","1011327"
